Provinsi,Jenjang Pendidikan,Tahun,Tingkat Penyelesaian
ACEH,SD,2021,99.44
ACEH,SD,2022,99.45
ACEH,SD,2023,99.08
ACEH,SMP,2021,93.43
ACEH,SMP,2022,97.63
ACEH,SMP,2023,94.55
ACEH,SMA,2021,74.36
ACEH,SMA,2022,70.67
ACEH,SMA,2023,74.46
ACEH, SD,2015,96.47
ACEH, SD,2016,98.07
ACEH, SD,2017,97.85
ACEH, SMP,2015,89.01
ACEH, SMP,2016,88.7
ACEH, SMP,2017,89.42
ACEH, SMA,2015,68.16
ACEH, SMA,2016,74.46
ACEH, SMA,2017,70.64
ACEH, SD,2018,96.75
ACEH, SD,2019,98.6
ACEH, SD,2020,98.33
ACEH, SMP,2018,87.15
ACEH, SMP,2019,89.5
ACEH, SMP,2020,90.92
ACEH, SMA,2018,70.68
ACEH, SMA,2019,69.96
ACEH, SMA,2020,70.07
BALI,SD,2021,97.02
BALI,SD,2022,97.55
BALI,SD,2023,98.43
BALI,SMP,2021,94.26
BALI,SMP,2022,94.15
BALI,SMP,2023,93.03
BALI,SMA,2021,75.86
BALI,SMA,2022,76.59
BALI,SMA,2023,76.51
BALI, SD,2015,96.73
BALI, SD,2016,97
BALI, SD,2017,97.21
BALI, SMP,2015,85.95
BALI, SMP,2016,91.99
BALI, SMP,2017,91.43
BALI, SMA,2015,69.08
BALI, SMA,2016,73.65
BALI, SMA,2017,74.62
BALI, SD,2018,96.4
BALI, SD,2019,98.34
BALI, SD,2020,96.66
BALI, SMP,2018,93.78
BALI, SMP,2019,93.33
BALI, SMP,2020,93.21
BALI, SMA,2018,78.67
BALI, SMA,2019,64.52
BALI, SMA,2020,74.88
BANTEN,SD,2021,98.82
BANTEN,SD,2022,97.24
BANTEN,SD,2023,97.15
BANTEN,SMP,2021,90.63
BANTEN,SMP,2022,92.65
BANTEN,SMP,2023,90.86
BANTEN,SMA,2021,66.9
BANTEN,SMA,2022,66.02
BANTEN,SMA,2023,70.07
BANTEN, SD,2015,91.66
BANTEN, SD,2016,94.48
BANTEN, SD,2017,97.56
BANTEN, SMP,2015,79.23
BANTEN, SMP,2016,82.69
BANTEN, SMP,2017,86.82
BANTEN, SMA,2015,52.95
BANTEN, SMA,2016,60.83
BANTEN, SMA,2017,59.87
BANTEN, SD,2018,95.35
BANTEN, SD,2019,96.26
BANTEN, SD,2020,96.03
BANTEN, SMP,2018,85.21
BANTEN, SMP,2019,87.4
BANTEN, SMP,2020,86.7
BANTEN, SMA,2018,67.54
BANTEN, SMA,2019,56.94
BANTEN, SMA,2020,64.24
BENGKULU,SD,2021,98.16
BENGKULU,SD,2022,97.65
BENGKULU,SD,2023,97.1
BENGKULU,SMP,2021,89.94
BENGKULU,SMP,2022,90.81
BENGKULU,SMP,2023,89.25
BENGKULU,SMA,2021,62.46
BENGKULU,SMA,2022,64.88
BENGKULU,SMA,2023,63.41
BENGKULU, SD,2015,92.15
BENGKULU, SD,2016,93.98
BENGKULU, SD,2017,94.23
BENGKULU, SMP,2015,78.16
BENGKULU, SMP,2016,84.21
BENGKULU, SMP,2017,82.9
BENGKULU, SMA,2015,55.94
BENGKULU, SMA,2016,64.31
BENGKULU, SMA,2017,62.57
BENGKULU, SD,2018,93.2
BENGKULU, SD,2019,93.33
BENGKULU, SD,2020,95.16
BENGKULU, SMP,2018,86.34
BENGKULU, SMP,2019,85.13
BENGKULU, SMP,2020,87.68
BENGKULU, SMA,2018,58.86
BENGKULU, SMA,2019,61.47
BENGKULU, SMA,2020,62.73
DI YOGYAKARTA,SD,2021,98.48
DI YOGYAKARTA,SD,2022,98.91
DI YOGYAKARTA,SD,2023,98.95
DI YOGYAKARTA,SMP,2021,94.94
DI YOGYAKARTA,SMP,2022,97.06
DI YOGYAKARTA,SMP,2023,97.02
DI YOGYAKARTA,SMA,2021,90.12
DI YOGYAKARTA,SMA,2022,87.92
DI YOGYAKARTA,SMA,2023,89.69
DI YOGYAKARTA, SD,2015,95.98
DI YOGYAKARTA, SD,2016,96.64
DI YOGYAKARTA, SD,2017,96.97
DI YOGYAKARTA, SMP,2015,87.41
DI YOGYAKARTA, SMP,2016,92.87
DI YOGYAKARTA, SMP,2017,92.13
DI YOGYAKARTA, SMA,2015,80.77
DI YOGYAKARTA, SMA,2016,79.95
DI YOGYAKARTA, SMA,2017,85.53
DI YOGYAKARTA, SD,2018,95.12
DI YOGYAKARTA, SD,2019,94.92
DI YOGYAKARTA, SD,2020,96.43
DI YOGYAKARTA, SMP,2018,92.66
DI YOGYAKARTA, SMP,2019,92.34
DI YOGYAKARTA, SMP,2020,92.36
DI YOGYAKARTA, SMA,2018,81.96
DI YOGYAKARTA, SMA,2019,84.54
DI YOGYAKARTA, SMA,2020,87.99
DKI JAKARTA,SD,2021,99.26
DKI JAKARTA,SD,2022,98.58
DKI JAKARTA,SD,2023,98.66
DKI JAKARTA,SMP,2021,95
DKI JAKARTA,SMP,2022,95.4
DKI JAKARTA,SMP,2023,95.85
DKI JAKARTA,SMA,2021,84.98
DKI JAKARTA,SMA,2022,87.71
DKI JAKARTA,SMA,2023,88.1
DKI JAKARTA, SD,2015,96.56
DKI JAKARTA, SD,2016,95.32
DKI JAKARTA, SD,2017,97.2
DKI JAKARTA, SMP,2015,86.79
DKI JAKARTA, SMP,2016,90.75
DKI JAKARTA, SMP,2017,91.2
DKI JAKARTA, SMA,2015,74.1
DKI JAKARTA, SMA,2016,74.74
DKI JAKARTA, SMA,2017,78.25
DKI JAKARTA, SD,2018,95.26
DKI JAKARTA, SD,2019,96.05
DKI JAKARTA, SD,2020,97.8
DKI JAKARTA, SMP,2018,92.8
DKI JAKARTA, SMP,2019,93.02
DKI JAKARTA, SMP,2020,94.57
DKI JAKARTA, SMA,2018,83.48
DKI JAKARTA, SMA,2019,84.35
DKI JAKARTA, SMA,2020,85.67
GORONTALO, SD,2018,93.44
GORONTALO, SD,2019,95.12
GORONTALO, SD,2020,93.69
GORONTALO, SMP,2018,81.22
GORONTALO, SMP,2019,80.56
GORONTALO, SMP,2020,83.71
GORONTALO, SMA,2018,53.73
GORONTALO, SMA,2019,45.12
GORONTALO, SMA,2020,46.19
GORONTALO, SD,2015,91.67
GORONTALO, SD,2016,94.22
GORONTALO, SD,2017,93.4
GORONTALO, SMP,2015,69.67
GORONTALO, SMP,2016,74.57
GORONTALO, SMP,2017,73.36
GORONTALO, SMA,2015,43.33
GORONTALO, SMA,2016,50.06
GORONTALO, SMA,2017,52.29
GORONTALO, SD,2018,93.92
GORONTALO, SD,2019,94.03
GORONTALO, SD,2020,94.4
GORONTALO, SMP,2018,86.71
GORONTALO, SMP,2019,85.98
GORONTALO, SMP,2020,87.98
GORONTALO, SMA,2018,68.9
GORONTALO, SMA,2019,63.91
GORONTALO, SMA,2020,70.25
JAMBI,SD,2021,98.54
JAMBI,SD,2022,97.62
JAMBI,SD,2023,97.76
JAMBI,SMP,2021,89
JAMBI,SMP,2022,86.57
JAMBI,SMP,2023,89.35
JAMBI,SMA,2021,64.51
JAMBI,SMA,2022,65.85
JAMBI,SMA,2023,66.62
JAMBI, SD,2015,93.12
JAMBI, SD,2016,95.93
JAMBI, SD,2017,95.65
JAMBI, SMP,2015,78.04
JAMBI, SMP,2016,79.86
JAMBI, SMP,2017,84.9
JAMBI, SMA,2015,49.05
JAMBI, SMA,2016,60.5
JAMBI, SMA,2017,58.27
JAMBI, SD,2018,94.62
JAMBI, SD,2019,96.99
JAMBI, SD,2020,95.34
JAMBI, SMP,2018,83.29
JAMBI, SMP,2019,84.4
JAMBI, SMP,2020,86.31
JAMBI, SMA,2018,66.06
JAMBI, SMA,2019,56.87
JAMBI, SMA,2020,63.66
JAWA BARAT,SD,2021,98.45
JAWA BARAT,SD,2022,99.08
JAWA BARAT,SD,2023,99.09
JAWA BARAT,SMP,2021,88.18
JAWA BARAT,SMP,2022,89.29
JAWA BARAT,SMP,2023,91.42
JAWA BARAT,SMA,2021,64.89
JAWA BARAT,SMA,2022,67.05
JAWA BARAT,SMA,2023,66.47
JAWA BARAT, SD,2015,92.42
JAWA BARAT, SD,2016,93.75
JAWA BARAT, SD,2017,96.97
JAWA BARAT, SMP,2015,79.09
JAWA BARAT, SMP,2016,84.24
JAWA BARAT, SMP,2017,84.64
JAWA BARAT, SMA,2015,48.53
JAWA BARAT, SMA,2016,55.03
JAWA BARAT, SMA,2017,48.32
JAWA BARAT, SD,2018,97.08
JAWA BARAT, SD,2019,97.92
JAWA BARAT, SD,2020,97.76
JAWA BARAT, SMP,2018,85.18
JAWA BARAT, SMP,2019,85.53
JAWA BARAT, SMP,2020,88.17
JAWA BARAT, SMA,2018,61.04
JAWA BARAT, SMA,2019,57.46
JAWA BARAT, SMA,2020,63.56
JAWA TENGAH,SD,2021,98.06
JAWA TENGAH,SD,2022,98.01
JAWA TENGAH,SD,2023,98.42
JAWA TENGAH,SMP,2021,88.44
JAWA TENGAH,SMP,2022,90.02
JAWA TENGAH,SMP,2023,90.64
JAWA TENGAH,SMA,2021,59.9
JAWA TENGAH,SMA,2022,58.75
JAWA TENGAH,SMA,2023,58.35
JAWA TENGAH, SD,2015,92.91
JAWA TENGAH, SD,2016,95.59
JAWA TENGAH, SD,2017,96.25
JAWA TENGAH, SMP,2015,78.96
JAWA TENGAH, SMP,2016,85.93
JAWA TENGAH, SMP,2017,87.24
JAWA TENGAH, SMA,2015,43.86
JAWA TENGAH, SMA,2016,44.59
JAWA TENGAH, SMA,2017,51.52
JAWA TENGAH, SD,2018,96.15
JAWA TENGAH, SD,2019,96.61
JAWA TENGAH, SD,2020,97.2
JAWA TENGAH, SMP,2018,86.9
JAWA TENGAH, SMP,2019,85.47
JAWA TENGAH, SMP,2020,89
JAWA TENGAH, SMA,2018,55.62
JAWA TENGAH, SMA,2019,49.79
JAWA TENGAH, SMA,2020,55.82
JAWA TIMUR,SD,2021,97.76
JAWA TIMUR,SD,2022,98.71
JAWA TIMUR,SD,2023,98.78
JAWA TIMUR,SMP,2021,90.3
JAWA TIMUR,SMP,2022,90.47
JAWA TIMUR,SMP,2023,90.74
JAWA TIMUR,SMA,2021,66.33
JAWA TIMUR,SMA,2022,66.87
JAWA TIMUR,SMA,2023,68.65
JAWA TIMUR, SD,2015,91.76
JAWA TIMUR, SD,2016,94.78
JAWA TIMUR, SD,2017,96.1
JAWA TIMUR, SMP,2015,80.98
JAWA TIMUR, SMP,2016,84.7
JAWA TIMUR, SMP,2017,86.2
JAWA TIMUR, SMA,2015,52.04
JAWA TIMUR, SMA,2016,55.13
JAWA TIMUR, SMA,2017,59.9
JAWA TIMUR, SD,2018,95.7
JAWA TIMUR, SD,2019,96.3
JAWA TIMUR, SD,2020,96.81
JAWA TIMUR, SMP,2018,86.04
JAWA TIMUR, SMP,2019,86.21
JAWA TIMUR, SMP,2020,89.98
JAWA TIMUR, SMA,2018,62.48
JAWA TIMUR, SMA,2019,57.74
JAWA TIMUR, SMA,2020,63.53
KALIMANTAN BARAT,SD,2021,94.29
KALIMANTAN BARAT,SD,2022,95.13
KALIMANTAN BARAT,SD,2023,95.33
KALIMANTAN BARAT,SMP,2021,79.65
KALIMANTAN BARAT,SMP,2022,81.82
KALIMANTAN BARAT,SMP,2023,81.56
KALIMANTAN BARAT,SMA,2021,54.27
KALIMANTAN BARAT,SMA,2022,58.4
KALIMANTAN BARAT,SMA,2023,55.58
KALIMANTAN BARAT, SD,2015,83.99
KALIMANTAN BARAT, SD,2016,87.93
KALIMANTAN BARAT, SD,2017,86
KALIMANTAN BARAT, SMP,2015,63.41
KALIMANTAN BARAT, SMP,2016,72.66
KALIMANTAN BARAT, SMP,2017,72.54
KALIMANTAN BARAT, SMA,2015,35.69
KALIMANTAN BARAT, SMA,2016,35.69
KALIMANTAN BARAT, SMA,2017,42.7
KALIMANTAN BARAT, SD,2018,93.95
KALIMANTAN BARAT, SD,2019,94.58
KALIMANTAN BARAT, SD,2020,94.32
KALIMANTAN BARAT, SMP,2018,81.7
KALIMANTAN BARAT, SMP,2019,80.72
KALIMANTAN BARAT, SMP,2020,83.48
KALIMANTAN BARAT, SMA,2018,68.61
KALIMANTAN BARAT, SMA,2019,63.81
KALIMANTAN BARAT, SMA,2020,71.74
KALIMANTAN SELATAN,SD,2021,95.67
KALIMANTAN SELATAN,SD,2022,94.68
KALIMANTAN SELATAN,SD,2023,95.99
KALIMANTAN SELATAN,SMP,2021,84.06
KALIMANTAN SELATAN,SMP,2022,87.95
KALIMANTAN SELATAN,SMP,2023,88.19
KALIMANTAN SELATAN,SMA,2021,63.59
KALIMANTAN SELATAN,SMA,2022,67.81
KALIMANTAN SELATAN,SMA,2023,68.35
KALIMANTAN SELATAN, SD,2015,87.15
KALIMANTAN SELATAN, SD,2016,93.89
KALIMANTAN SELATAN, SD,2017,92.49
KALIMANTAN SELATAN, SMP,2015,72.89
KALIMANTAN SELATAN, SMP,2016,77.25
KALIMANTAN SELATAN, SMP,2017,77.11
KALIMANTAN SELATAN, SMA,2015,44.85
KALIMANTAN SELATAN, SMA,2016,52.91
KALIMANTAN SELATAN, SMA,2017,56.75
KALIMANTAN SELATAN, SD,2018,95.21
KALIMANTAN SELATAN, SD,2019,94.62
KALIMANTAN SELATAN, SD,2020,95.74
KALIMANTAN SELATAN, SMP,2018,82.48
KALIMANTAN SELATAN, SMP,2019,81.72
KALIMANTAN SELATAN, SMP,2020,85.68
KALIMANTAN SELATAN, SMA,2018,61.23
KALIMANTAN SELATAN, SMA,2019,62.13
KALIMANTAN SELATAN, SMA,2020,65.34
KALIMANTAN TENGAH,SD,2021,97.45
KALIMANTAN TENGAH,SD,2022,98.51
KALIMANTAN TENGAH,SD,2023,97.47
KALIMANTAN TENGAH,SMP,2021,89.76
KALIMANTAN TENGAH,SMP,2022,87.79
KALIMANTAN TENGAH,SMP,2023,88.92
KALIMANTAN TENGAH,SMA,2021,61.04
KALIMANTAN TENGAH,SMA,2022,61.88
KALIMANTAN TENGAH,SMA,2023,63.93
KALIMANTAN TENGAH, SD,2015,93.18
KALIMANTAN TENGAH, SD,2016,93.75
KALIMANTAN TENGAH, SD,2017,93.06
KALIMANTAN TENGAH, SMP,2015,72.59
KALIMANTAN TENGAH, SMP,2016,80.64
KALIMANTAN TENGAH, SMP,2017,76.84
KALIMANTAN TENGAH, SMA,2015,47.28
KALIMANTAN TENGAH, SMA,2016,52.42
KALIMANTAN TENGAH, SMA,2017,56.48
KALIMANTAN TENGAH, SD,2018,93.01
KALIMANTAN TENGAH, SD,2019,93.14
KALIMANTAN TENGAH, SD,2020,94.75
KALIMANTAN TENGAH, SMP,2018,85.28
KALIMANTAN TENGAH, SMP,2019,86.14
KALIMANTAN TENGAH, SMP,2020,87.13
KALIMANTAN TENGAH, SMA,2018,59.39
KALIMANTAN TENGAH, SMA,2019,61.49
KALIMANTAN TENGAH, SMA,2020,62.01
KALIMANTAN TIMUR,SD,2021,96.82
KALIMANTAN TIMUR,SD,2022,99.18
KALIMANTAN TIMUR,SD,2023,97.88
KALIMANTAN TIMUR,SMP,2021,95.34
KALIMANTAN TIMUR,SMP,2022,95.32
KALIMANTAN TIMUR,SMP,2023,94.85
KALIMANTAN TIMUR,SMA,2021,74.26
KALIMANTAN TIMUR,SMA,2022,74
KALIMANTAN TIMUR,SMA,2023,73.63
KALIMANTAN TIMUR, SD,2015,94.65
KALIMANTAN TIMUR, SD,2016,98.16
KALIMANTAN TIMUR, SD,2017,96.93
KALIMANTAN TIMUR, SMP,2015,80.58
KALIMANTAN TIMUR, SMP,2016,85.52
KALIMANTAN TIMUR, SMP,2017,85.02
KALIMANTAN TIMUR, SMA,2015,58.36
KALIMANTAN TIMUR, SMA,2016,62.82
KALIMANTAN TIMUR, SMA,2017,63.76
KALIMANTAN TIMUR, SD,2018,94.57
KALIMANTAN TIMUR, SD,2019,94.35
KALIMANTAN TIMUR, SD,2020,94.48
KALIMANTAN TIMUR, SMP,2018,81.28
KALIMANTAN TIMUR, SMP,2019,83.18
KALIMANTAN TIMUR, SMP,2020,85.65
KALIMANTAN TIMUR, SMA,2018,62.95
KALIMANTAN TIMUR, SMA,2019,59.16
KALIMANTAN TIMUR, SMA,2020,63.29
KALIMANTAN UTARA,SD,2021,95.77
KALIMANTAN UTARA,SD,2022,96.94
KALIMANTAN UTARA,SD,2023,96.41
KALIMANTAN UTARA,SMP,2021,90.14
KALIMANTAN UTARA,SMP,2022,90.55
KALIMANTAN UTARA,SMP,2023,88.08
KALIMANTAN UTARA,SMA,2021,62.3
KALIMANTAN UTARA,SMA,2022,54.8
KALIMANTAN UTARA,SMA,2023,59.5
KALIMANTAN UTARA, SD,2015,88.02
KALIMANTAN UTARA, SD,2016,88.11
KALIMANTAN UTARA, SD,2017,91.48
KALIMANTAN UTARA, SMP,2015,67.44
KALIMANTAN UTARA, SMP,2016,71.89
KALIMANTAN UTARA, SMP,2017,73.04
KALIMANTAN UTARA, SMA,2015,33.91
KALIMANTAN UTARA, SMA,2016,38.99
KALIMANTAN UTARA, SMA,2017,47.09
KALIMANTAN UTARA, SD,2018,94.51
KALIMANTAN UTARA, SD,2019,94.44
KALIMANTAN UTARA, SD,2020,94.12
KALIMANTAN UTARA, SMP,2018,80.79
KALIMANTAN UTARA, SMP,2019,81.47
KALIMANTAN UTARA, SMP,2020,82.53
KALIMANTAN UTARA, SMA,2018,60.75
KALIMANTAN UTARA, SMA,2019,62.65
KALIMANTAN UTARA, SMA,2020,63.98
KEP. BANGKA BELITUNG,SD,2021,96.61
KEP. BANGKA BELITUNG,SD,2022,96.45
KEP. BANGKA BELITUNG,SD,2023,96.01
KEP. BANGKA BELITUNG,SMP,2021,80.99
KEP. BANGKA BELITUNG,SMP,2022,84.72
KEP. BANGKA BELITUNG,SMP,2023,87.11
KEP. BANGKA BELITUNG,SMA,2021,63.98
KEP. BANGKA BELITUNG,SMA,2022,66.87
KEP. BANGKA BELITUNG,SMA,2023,68.96
KEP. BANGKA BELITUNG, SD,2015,90.05
KEP. BANGKA BELITUNG, SD,2016,89.38
KEP. BANGKA BELITUNG, SD,2017,92.36
KEP. BANGKA BELITUNG, SMP,2015,70.35
KEP. BANGKA BELITUNG, SMP,2016,75.77
KEP. BANGKA BELITUNG, SMP,2017,75.3
KEP. BANGKA BELITUNG, SMA,2015,43.46
KEP. BANGKA BELITUNG, SMA,2016,53.84
KEP. BANGKA BELITUNG, SMA,2017,51.55
KEP. BANGKA BELITUNG, SD,2018,92.04
KEP. BANGKA BELITUNG, SD,2019,92.8
KEP. BANGKA BELITUNG, SD,2020,96.05
KEP. BANGKA BELITUNG, SMP,2018,79.7
KEP. BANGKA BELITUNG, SMP,2019,77.96
KEP. BANGKA BELITUNG, SMP,2020,81.91
KEP. BANGKA BELITUNG, SMA,2018,55.01
KEP. BANGKA BELITUNG, SMA,2019,53.84
KEP. BANGKA BELITUNG, SMA,2020,56.74
KEP. RIAU,SD,2021,98.16
KEP. RIAU,SD,2022,98.38
KEP. RIAU,SD,2023,97.92
KEP. RIAU,SMP,2021,92.71
KEP. RIAU,SMP,2022,95.72
KEP. RIAU,SMP,2023,95.51
KEP. RIAU,SMA,2021,81.07
KEP. RIAU,SMA,2022,73.93
KEP. RIAU,SMA,2023,78.97
KEP. RIAU, SD,2015,97.85
KEP. RIAU, SD,2016,94.9
KEP. RIAU, SD,2017,96.28
KEP. RIAU, SMP,2015,88.25
KEP. RIAU, SMP,2016,86.92
KEP. RIAU, SMP,2017,92.11
KEP. RIAU, SMA,2015,65.28
